365562;01 Кафе;Москва;Чаянова ул., д. 11/2;7 (495) 251-12-58;Борисова Наталья;все хорошо;отказался;;;
415722;02 Lounge;Москва;Тверская ул., д. 3, (Ритц-Карлтон);7 (495) 225-88-88;Елена Вагнер;все хорошо;оплачено;2012-07-11;Базовый;
294434;095;Москва;Бол. Серпуховская ул., д. 17;7 (499) 237-10-94;Косарев Андрей Андреевич;все хорошо;в работе;;;
363150;1;Москва;;;Наира Ашуров;не проверено;новое;;;
2234;1 Кино-клуб;Москва;Олимпийский пр-т, д. 16;7 (495) 937-78-71, 7 (495) 937-78-72;Всеволод Дубин;закрыт;в работе;;;БН-31.03.2009 от 2009-03-31 до 2009-03-31
380799;1 Рускейтеринг;Москва;Варшавское ш., д. 42.;7 (495) 981-41-39;Добрынская Наталия;все хорошо;в работе;;;
613928;1-2-3 кафе;Москва;Дмитрия Донского ул., д. 11;7 (499) 501-80-03, 7 (499) 501-80-04;Наташа Водопьянова;все хорошо;отказался;;;
613927;1-2-3 кафе;Москва;Земляной Вал ул., д. 29 (здание Курского вокзала);7 (499) 500-07-92;Наташа Водопьянова;все хорошо;отказался;;;
613548;1-2-3 кафе;Москва;Пушкинская пл., д. 5;7 (495) 650-17-85;Наташа Водопьянова;все хорошо;отказался;;;
612810;1-2-3 кафе;Москва;Черкизовская Б. ул., д. 6;7 (499) 161-30-23;Наташа Водопьянова;все хорошо;отказался;;;
612809;1-2-3 кафе;Москва;Комсомольский пр-т, д. 28;7 (495) 782-88-65;Наташа Водопьянова;все хорошо;отказался;;;
414580;1-й Архитектор бизнеса;Москва;1-й Кожевнический пер., д. 10;7 (495) 937-66-35;Ирина Акопян;все хорошо;новое;;;
476961;1-ое Авторское Кафе;Москва;МО, Мытищинский р-н, пос. Виноградово, д. 36Б;7 (985) 763-03-33, 7 (909) 925-20-05;Косарев Андрей Андреевич;все хорошо;отказался;;;
615877;100%;Москва;Русаковская ул., д. 19/21;7 (499) 269-08-65;Наташа Водопьянова;все хорошо;отказался;;;
321594;1000 миль;Москва;2-ой Донской пр-д, д. 10;7 (495) 955-17-03;Дарья Воронова;все хорошо;отказался;;;
614089;1001 ночь;Москва;Братиславская ул., д. 31, корп. 1;7 (495) 347-97-87, 7 (495) 662-28-76;Тихонов Артём Юрьевич;все хорошо;отказался;;;
614140;112;Москва;Мира пр-т, вл. 119, ВВЦ, пав. 19;+7 (925) 514 6343, 7 (495) 745-02-09;Косарев Андрей Андреевич;все хорошо;отказался;;;
600058;12 Виноградин;Москва;Пречистенская наб., д. 17;7 (495) 695-16-25;Добрынская Наталия;все хорошо;в работе;;;
271768;12 вольт (закрыто);Москва;Тверская ул., д. 12, стр. 2;7 (495) 933-28-15;Силин Александр;закрыт;не дозвонились;;;
616365;12 столиков;Москва;Заревый пр., д. 12;7 (499) 476-16-90;Бокова Наталья Николаевна;все хорошо;отказался;;;
208829;12 футов;Москва;Веерная ул., д. 30, корп. 1;7 (495) 449-28-14;Яропольская Яна;все хорошо;не дозвонились;;;
613658;132 BPM Бар;Москва;Палашевский М. пер., д. 2/8;7 (495) 650-10-25;Косарев Андрей Андреевич;не проверено;отказался;;;
338055;15-й шар;Москва;Казакова ул., д. 8/8 А, стр. 3;7 (495) 258-42-19, 7 (495) 259-55-00;Тихонов Артём Юрьевич;все хорошо;отказался;;;
